address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Prinsengracht 526 3, 1017 KJ Amsterdam",Prinsengracht,526 3,1017KJ,Amsterdam,1350000.0,1350000.0,,2025-02-20,,,264.0,153.0,4.0,2.0,1.0,,1895.0,Appartement,Bovenwoning,,Goed,Goed,311.0,False,,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,,
"Laurierstraat 24 H, 1016 PM Amsterdam",Laurierstraat,24 H,1016PM,Amsterdam,710000.0,730000.0,,2024-04-05,2024-08-26,2024-08-20,62.0,105.0,3.0,2.0,1.0,,1871.0,Appartement,Benedenwoning,D,Matig,Matig,50.0,True,Patio,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,,
"Zoomstraat 50 2, 1078 XL Amsterdam",Zoomstraat,50 2,1078XL,Amsterdam,1030000.0,995000.0,,2025-04-14,2025-05-23,2025-07-11,36.0,115.0,4.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,E,Goed,Goed,261.44,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1510 (4).rtf,,
"Lijnbaansgracht 188 H, 1016 XA Amsterdam",Lijnbaansgracht,188 H,1016XA,Amsterdam,625000.0,600000.0,,2025-01-20,2025-05-07,2025-05-07,82.0,64.0,4.0,2.0,1.0,,1944.0,Appartement,Benedenwoning,C,Goed,Goed,100.0,True,Patio,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,,
"Berkelstraat 15 1, 1078 CV Amsterdam",Berkelstraat,15 1,1078CV,Amsterdam,492000.0,475000.0,,2024-11-25,2025-02-10,2025-05-24,78.0,63.0,3.0,2.0,,,1925.0,Appartement,,C,Goed,Goed,193.0,False,Geen tuin,,True,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0825 (2).rtf,,
"Laurierstraat 74 2, 1016 PN Amsterdam",Laurierstraat,74 2,1016PN,Amsterdam,434500.0,420000.0,,2025-06-24,2025-10-15,2025-10-02,63.0,47.0,2.0,1.0,1.0,,1884.0,Appartement,Bovenwoning,C,Goed,Goed,35.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,,
"Tuinstraat 235 B, 1015 PD Amsterdam",Tuinstraat,235 B,1015PD,Amsterdam,525000.0,500000.0,,2024-09-11,2024-12-08,2025-01-03,62.0,56.0,2.0,1.0,1.0,,1987.0,Appartement,Bovenwoning,A,Goed,Goed,123.16,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1507.rtf,,
"Hazenstraat 15 3, 1016 SM Amsterdam",Hazenstraat,15 3,1016SM,Amsterdam,407000.0,400000.0,,2025-06-27,2025-08-05,2025-08-29,35.0,37.0,2.0,1.0,1.0,,1933.0,Appartement,Bovenwoning,G,Goed,Goed,213.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0800.rtf,,
"Keizersgracht 515 P, 1017 DN Amsterdam",Keizersgracht,515 P,1017DN,Amsterdam,600000.0,600000.0,,2025-06-17,,,147.0,62.0,2.0,1.0,1.0,,1970.0,Appartement,Bovenwoning,,Goed,Goed,153.52,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Keizersgracht 138 C, 1015 CW Amsterdam",Keizersgracht,138 C,1015CW,Amsterdam,685000.0,685000.0,,2025-10-09,,,47.0,74.0,3.0,1.0,1.0,,1730.0,Appartement,Bovenwoning,C,Goed,Goed,183.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
