address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Prinsengracht 81 A, 1015 DN Amsterdam",Prinsengracht,81 A,1015DN,Amsterdam,1350000.0,1350000.0,,2025-08-25,,,260.0,183.0,3.0,2.0,1.0,,1760.0,Appartement,Benedenwoning,,Goed,Goed,620.75,True,Achtertuin,12.0,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.378775,4.8872679
"Laurierstraat 36 H, 1016 PM Amsterdam",Laurierstraat,36 H,1016PM,Amsterdam,818000.0,750000.0,,2024-09-02,2024-10-14,2024-10-14,19.0,75.0,3.0,2.0,1.0,,1835.0,Appartement,Benedenwoning,A,Goed,Goed,152.0,True,Achtertuin,9.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,52.3724881,4.8818464
"Oude-IJselstraat 7 2, 1078 CL Amsterdam",Oude-IJselstraat,7 2,1078CL,Amsterdam,485000.0,425000.0,,2025-09-25,2025-11-03,2026-01-05,21.0,51.0,2.0,1.0,1.0,,1934.0,Appartement,Bovenwoning,E,Goed,Goed,239.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1510 (5).rtf,52.3478522,4.9012212
"Lijnbaansgracht 188 H, 1016 XA Amsterdam",Lijnbaansgracht,188 H,1016XA,Amsterdam,625000.0,600000.0,,2025-01-20,2025-05-07,2025-05-07,82.0,64.0,4.0,2.0,1.0,,1944.0,Appartement,Benedenwoning,C,Goed,Goed,100.0,True,Patio,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,52.3685561,4.8787793
"Berkelstraat 15 1, 1078 CV Amsterdam",Berkelstraat,15 1,1078CV,Amsterdam,492000.0,475000.0,,2024-11-25,2025-02-10,2025-05-24,78.0,63.0,3.0,2.0,,,1925.0,Appartement,,C,Goed,Goed,193.0,False,Geen tuin,,True,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0825 (2).rtf,52.3479167,4.9037593
"Laurierstraat 38 2, 1016 PN Amsterdam",Laurierstraat,38 2,1016PN,Amsterdam,510000.0,425000.0,,2024-05-30,2024-06-19,2024-07-15,16.0,43.0,2.0,1.0,1.0,,1899.0,Appartement,,B,Goed,Goed,65.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,52.3724695,4.8817735
"Tuinstraat 71 3, 1015 NZ Amsterdam",Tuinstraat,71 3,1015NZ,Amsterdam,710000.0,650000.0,,2024-11-10,2025-04-28,2024-12-25,31.0,73.0,4.0,2.0,1.0,,1906.0,Appartement,Bovenwoning,E,Goed,Goed,234.65,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1507.rtf,52.3771936,4.8832323
"Hazenstraat 15 3, 1016 SM Amsterdam",Hazenstraat,15 3,1016SM,Amsterdam,407000.0,400000.0,,2025-06-27,2025-08-05,2025-08-29,35.0,37.0,2.0,1.0,1.0,,1933.0,Appartement,Bovenwoning,G,Goed,Goed,213.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0800.rtf,52.3707628,4.8799139
"Keizersgracht 707 2, 1017 DW Amsterdam",Keizersgracht,707 2,1017DW,Amsterdam,635000.0,635000.0,,2025-09-18,,,125.0,68.0,4.0,2.0,1.0,,1904.0,Appartement,,,Goed,Goed,159.28,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3639902,4.8980199
"Keizersgracht 391 C, 1016 EJ Amsterdam",Keizersgracht,391 C,1016EJ,Amsterdam,699000.0,699000.0,,2025-08-26,,,77.0,72.0,3.0,2.0,1.0,,1671.0,Appartement,,,Redelijk,Redelijk,95.08,False,Geen tuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3678964,4.8848775
