address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,image_count,images
"Amstelkade 69 2, 1078 AL Amsterdam",Amstelkade,69 2,1078AL,Amsterdam Verkocht In verkoop genomen Vraagprijs,460000.0,450000.0,2025-02-27,,,2025-02-27,555,54.0,2.0,1.0,1.0,,1925.0,Appartement,Bovenwoning,E,Redelijk,Redelijk,67.0,False,Geen tuin,,True,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,30,
"Amstelkade 93 1, 1078 AN Amsterdam",Amstelkade,93 1,1078AN,Amsterdam Verkocht In verkoop genomen Vraagprijs,550000.0,500000.0,2025-07-21,,,2025-07-21,14,63.0,2.0,1.0,1.0,,1924.0,Appartement,Bovenwoning,C,Goed,Goed,144.23,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,25,
"Amstelkade 50 3, 1078 AJ Amsterdam",Amstelkade,50 3,1078AJ,Amsterdam Verkocht In verkoop genomen Vraagprijs,590000.0,525000.0,2025-03-24,,,2025-03-24,356,65.0,3.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,D,Goed,Goed,182.54,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,25,
"Amstelkade 17 3, 1078 AC Amsterdam",Amstelkade,17 3,1078AC,Amsterdam Verkocht In verkoop genomen Vraagprijs,625000.0,550000.0,2025-11-14,,,2025-11-14,123,58.0,3.0,2.0,1.0,,1922.0,Appartement,Bovenwoning,C,Uitstekend,Uitstekend,65.03,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,42,
"Amstelkade 16 4, 1078 AC Amsterdam",Amstelkade,16 4,1078AC,Amsterdam Verkocht In verkoop genomen Vraagprijs,630000.0,550000.0,2025-10-20,,,2025-10-20,123,58.0,2.0,1.0,1.0,,1922.0,Appartement,Bovenwoning,A,Uitstekend,Uitstekend,70.55,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,35,
"Amstelkade 67 1, 1078 AK Amsterdam",Amstelkade,67 1,1078AK,Amsterdam Verkocht In verkoop genomen Vraagprijs,607000.0,575000.0,2025-10-31,,,2025-10-31,111,71.0,3.0,2.0,1.0,,1924.0,Appartement,Bovenwoning,D,Goed,Goed,127.06,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,22,
"Amstelkade 17 4, 1078 AC Amsterdam",Amstelkade,17 4,1078AC,Amsterdam Verkocht In verkoop genomen Vraagprijs,632100.0,575000.0,2025-11-28,,,2025-11-28,123,62.0,3.0,2.0,1.0,,1922.0,Appartement,Bovenwoning,A,Uitstekend,Uitstekend,71.76,False,Geen tuin,,True,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,32,
"Amstelkade 3 1, 1078 AA Amsterdam",Amstelkade,3 1,1078AA,Amsterdam Verkocht In verkoop genomen Vraagprijs,865000.0,800000.0,2025-06-16,,,2025-06-16,31,85.0,4.0,3.0,1.0,,1922.0,Appartement,,A,Goed,Goed,,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,52,
"Amstelkade 54 H, 1078 AJ Amsterdam",Amstelkade,54 H,1078AJ,Amsterdam Verkocht In verkoop genomen Vraagprijs,925000.0,895000.0,2025-06-25,,,2025-06-25,10,78.0,3.0,2.0,1.0,,1924.0,Appartement,Benedenwoning,A,Uitstekend,Goed,,True,Achtertuin,39.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,26,
"Amstelkade 21 3, 1078 AC Amsterdam",Amstelkade,21 3,1078AC,Amsterdam Verkocht In verkoop genomen Vraagprijs,1090000.0,995000.0,2025-11-21,,,2025-11-21,51,,,,,,,,,,,,,False,,,False,False,,,,False,,False,False,False,,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_1.mhtml,0,[]
"Churchill-laan 16 B, 1078 EE Amsterdam",Churchill-laan,16 B,1078EE,Amsterdam Verkocht Direct verkocht Vraagprijs,310000.0,275000.0,2025-10-24,,,2025-10-24,161,23.0,2.0,1.0,1.0,,1925.0,Appartement,Bovenwoning,A,Goed,Goed,,False,Geen tuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,819,
"Churchill-laan 12, 1078 EE Amsterdam",Churchill-laan,12,1078EE,Amsterdam Verkocht In verkoop genomen Vraagprijs,505000.0,465000.0,2025-09-05,,,2025-09-05,223,54.0,2.0,1.0,1.0,,1925.0,Appartement,Bovenwoning,D,Goed,Goed,134.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,25,
"Churchill-laan 14, 1078 EE Amsterdam",Churchill-laan,14,1078EE,Amsterdam Verkocht In verkoop genomen Vraagprijs,549000.0,485000.0,2025-06-30,,,2025-06-30,70,52.0,3.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,B,Uitstekend,Uitstekend,134.19,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,21,
"Churchill-laan 106 2, 1078 EM Amsterdam",Churchill-laan,106 2,1078EM,Amsterdam Verkocht In verkoop genomen Vraagprijs,495000.0,495000.0,2025-09-24,,,2025-09-24,189,66.0,3.0,1.0,1.0,,1924.0,Appartement,Bovenwoning,C,Redelijk,Goed,205.11,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,20,
"Churchill-laan 20, 1078 EE Amsterdam",Churchill-laan,20,1078EE,Amsterdam Verkocht In verkoop genomen Prijs op aanvraag,505000.0,,2025-11-14,,,2025-11-14,70,53.0,3.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,C,Goed,Goed,121.41,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,2,
"Churchill-laan 98 3, 1078 EL Amsterdam",Churchill-laan,98 3,1078EL,Amsterdam Verkocht In verkoop genomen Vraagprijs,566098.0,525000.0,2025-09-11,,,2025-09-11,5,62.0,3.0,2.0,1.0,,1924.0,Appartement,,A,Goed,Goed,178.56,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,19,
"Churchill-laan 82 2, 1078 EL Amsterdam",Churchill-laan,82 2,1078EL,Amsterdam Verkocht In verkoop genomen Koopsom,665000.0,,2025-05-05,,,2025-05-05,14,66.0,3.0,2.0,1.0,,1925.0,Appartement,,C,Goed,Goed,107.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,36,
"Churchill-laan 119 4, 1078 DN Amsterdam",Churchill-laan,119 4,1078DN,Amsterdam Verkocht In verkoop genomen Vraagprijs,710000.0,675000.0,2025-02-27,,,2025-02-27,236,87.0,4.0,3.0,1.0,,1928.0,Appartement,Bovenwoning,C,Goed,Goed,137.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,39,
"Churchill-laan 157 2, 1078 DV Amsterdam",Churchill-laan,157 2,1078DV,Amsterdam Verkocht In verkoop genomen Vraagprijs,690000.0,675000.0,2025-06-26,,,2025-06-26,19,94.0,4.0,3.0,1.0,,1928.0,Appartement,Bovenwoning,C,Goed,Goed,183.97,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,32,
"Churchill-laan 248 1, 1078 EZ Amsterdam",Churchill-laan,248 1,1078EZ,Amsterdam Verkocht In verkoop genomen Vraagprijs,775000.0,750000.0,2026-01-16,,,2026-01-16,19,105.0,4.0,3.0,,,1928.0,Appartement,Bovenwoning,,Matig,Matig,290.0,False,Geen tuin,,True,True,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,33,
"Churchill-laan 3, 1078 DB Amsterdam",Churchill-laan,3,1078DB,Amsterdam Verkocht In verkoop genomen Vraagprijs,861000.0,795000.0,2025-04-04,,,2025-04-04,255,130.0,6.0,3.0,,,1930.0,Appartement,Benedenwoning,,Redelijk,Redelijk,294.91,True,Achtertuin,12.0,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,22,
"Churchill-laan 153 4, 1078 DT Amsterdam",Churchill-laan,153 4,1078DT,Amsterdam Verkocht In verkoop genomen Vraagprijs,890000.0,795000.0,2025-09-30,,,2025-09-30,50,89.0,4.0,3.0,1.0,,1928.0,Appartement,Bovenwoning,C,Goed,Goed,95.0,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\AppData\Local\Temp\realworks-workflow-fajPRs\realworks_file_2.mhtml,31,
